split,scene_id,model,ADE,FDE
val,56,original,0.5383638739585876,1.018606185913086
val,56,no_neighbours,0.37417349219322205,0.7252865433692932
val,56,tenth_grid,0.37452542781829834,0.727962851524353
val,56,triple_grid,0.4341007173061371,0.8405301570892334
val,56,constant_velocity,0.3685370683670044,0.739107608795166
val,57,original,0.18872016668319702,0.4726244807243347
val,57,no_neighbours,0.08857148140668869,0.2394336462020874
val,57,tenth_grid,0.09037530422210693,0.2658997178077698
val,57,triple_grid,0.19109801948070526,0.39329689741134644
val,57,constant_velocity,0.10897299647331238,0.08264829218387604
val,58,original,0.540891706943512,1.0555427074432373
val,58,no_neighbours,0.5888186097145081,1.174214243888855
val,58,tenth_grid,0.5751323103904724,1.1513365507125854
val,58,triple_grid,0.5477707982063293,1.0670982599258423
val,58,constant_velocity,0.09901753067970276,0.1501591056585312
val,59,original,0.983335554599762,1.8386762142181396
val,59,no_neighbours,0.8380905985832214,1.5658384561538696
val,59,tenth_grid,0.8278717994689941,1.5484801530838013
val,59,triple_grid,1.1059907674789429,2.063387632369995
val,59,constant_velocity,0.2132040113210678,0.3759958744049072
val,60,original,0.560979425907135,1.132375955581665
val,60,no_neighbours,0.4954564869403839,1.023220181465149
val,60,tenth_grid,0.49994930624961853,1.0352864265441895
val,60,triple_grid,0.5965573191642761,1.1461713314056396
val,60,constant_velocity,0.2569544017314911,0.5796818137168884
val,61,original,0.3863804340362549,0.6485218405723572
val,61,no_neighbours,0.2782363295555115,0.43808653950691223
val,61,tenth_grid,0.3021407723426819,0.4904312491416931
val,61,triple_grid,0.139115571975708,0.0658932477235794
val,61,constant_velocity,0.2632157504558563,0.5582469701766968
val,62,original,0.568082869052887,1.0980772972106934
val,62,no_neighbours,0.6406103372573853,1.328473448753357
val,62,tenth_grid,0.626682460308075,1.3040491342544556
val,62,triple_grid,0.5735187530517578,1.1675690412521362
val,62,constant_velocity,0.13712505996227264,0.1833491176366806
val,63,original,0.5911215543746948,1.088337779045105
val,63,no_neighbours,0.5473877191543579,1.0173174142837524
val,63,tenth_grid,0.5460453629493713,1.019965648651123
val,63,triple_grid,0.6956873536109924,1.2203953266143799
val,63,constant_velocity,0.4802682101726532,0.9600164294242859
val,64,original,0.6218768954277039,1.2302643060684204
val,64,no_neighbours,0.6211048364639282,1.2255080938339233
val,64,tenth_grid,0.6150801777839661,1.2159332036972046
val,64,triple_grid,0.7320356965065002,1.4369419813156128
val,64,constant_velocity,0.20813006162643433,0.4384888708591461
val,65,original,0.3319215476512909,0.7469037175178528
val,65,no_neighbours,0.27817097306251526,0.396071195602417
val,65,tenth_grid,0.2511788606643677,0.3325331211090088
val,65,triple_grid,0.25923576951026917,0.4335387647151947
val,65,constant_velocity,0.2471456080675125,0.45386719703674316
val,66,original,0.6415988206863403,1.1101330518722534
val,66,no_neighbours,0.7502312064170837,1.3863495588302612
val,66,tenth_grid,0.7356513142585754,1.3591961860656738
val,66,triple_grid,0.7678974270820618,1.413352370262146
val,66,constant_velocity,0.1427421271800995,0.23719634115695953
val,67,original,0.853263795375824,1.6965930461883545
val,67,no_neighbours,0.6324308514595032,1.2366117238998413
val,67,tenth_grid,0.6230170130729675,1.2206894159317017
val,67,triple_grid,0.7601290345191956,1.4633339643478394
val,67,constant_velocity,0.3226592540740967,0.6307040452957153
test,68,original,0.735783576965332,1.411706805229187
test,68,no_neighbours,0.6449027061462402,1.2420589923858643
test,68,tenth_grid,0.6397377848625183,1.235645055770874
test,68,triple_grid,0.8001155853271484,1.520011067390442
test,68,constant_velocity,0.12880359590053558,0.24008490145206451
test,69,original,0.7348604202270508,1.4103894233703613
test,69,no_neighbours,0.6939683556556702,1.2894642353057861
test,69,tenth_grid,0.6908820271492004,1.2867679595947266
test,69,triple_grid,0.8314587473869324,1.543510913848877
test,69,constant_velocity,0.22331611812114716,0.3891167640686035
test,70,original,0.7063665390014648,1.271275520324707
test,70,no_neighbours,0.7218647599220276,1.3172459602355957
test,70,tenth_grid,0.7021365761756897,1.2769346237182617
test,70,triple_grid,1.0720685720443726,1.940901517868042
test,70,constant_velocity,0.13260270655155182,0.1804066300392151
test,71,original,0.8175236582756042,1.6117024421691895
test,71,no_neighbours,0.6664621233940125,1.3205018043518066
test,71,tenth_grid,0.6596590876579285,1.3106735944747925
test,71,triple_grid,0.8131348490715027,1.5257261991500854
test,71,constant_velocity,0.057390641421079636,0.10878870636224747
test,72,original,0.8427762985229492,1.6277145147323608
test,72,no_neighbours,0.6569872498512268,1.288935661315918
test,72,tenth_grid,0.6480202078819275,1.2743916511535645
test,72,triple_grid,0.8080273270606995,1.5600353479385376
test,72,constant_velocity,0.05551746487617493,0.12856468558311462
test,73,original,0.7016950249671936,1.4059382677078247
test,73,no_neighbours,0.6344425678253174,1.217716097831726
test,73,tenth_grid,0.6254704594612122,1.2019116878509521
test,73,triple_grid,0.8079215884208679,1.5644744634628296
test,73,constant_velocity,0.14253953099250793,0.2870314419269562
test,74,original,0.5132786631584167,1.0722330808639526
test,74,no_neighbours,0.5308851003646851,1.0895999670028687
test,74,tenth_grid,0.5198104977607727,1.0726125240325928
test,74,triple_grid,0.8638506531715393,1.6719263792037964
test,74,constant_velocity,0.05925402045249939,0.06726013869047165
test,75,original,0.8937446475028992,1.7541570663452148
test,75,no_neighbours,0.8381355404853821,1.645179271697998
test,75,tenth_grid,0.825552225112915,1.6064748764038086
test,75,triple_grid,0.9795935750007629,1.84531831741333
test,75,constant_velocity,0.08454713225364685,0.1522371917963028
test,76,original,0.8321227431297302,1.6401690244674683
test,76,no_neighbours,0.7113346457481384,1.3832582235336304
test,76,tenth_grid,0.6996509432792664,1.3628630638122559
test,76,triple_grid,0.8818886280059814,1.6911059617996216
test,76,constant_velocity,0.143809512257576,0.2850205898284912
test,77,original,0.7016863226890564,1.4001108407974243
test,77,no_neighbours,0.6274054646492004,1.2184652090072632
test,77,tenth_grid,0.6190431714057922,1.2072011232376099
test,77,triple_grid,0.8064344525337219,1.5454223155975342
test,77,constant_velocity,0.10549714416265488,0.17449051141738892
test,78,original,0.7556368708610535,1.4520106315612793
test,78,no_neighbours,0.6956198215484619,1.3336366415023804
test,78,tenth_grid,0.6900714039802551,1.3272597789764404
test,78,triple_grid,0.9598199725151062,1.8012031316757202
test,78,constant_velocity,0.14355075359344482,0.2696110010147095
test,79,original,0.6457066535949707,1.0970714092254639
test,79,no_neighbours,0.7334163188934326,1.2874598503112793
test,79,tenth_grid,0.7277619242668152,1.2812089920043945
test,79,triple_grid,0.8435530066490173,1.404830813407898
test,79,constant_velocity,0.2247093915939331,0.5238626599311829
