split,model,ADE,FDE,scenes
val,original,0.567211389541626,1.0947214365005493,12
val,no_neighbours,0.5111069083213806,0.9797008633613586,12
val,tenth_grid,0.505637526512146,0.9726470112800598,12
val,triple_grid,0.5669281482696533,1.0592924356460571,12
val,constant_velocity,0.23733101785182953,0.4491218328475952,12
test,original,0.7400984168052673,1.4295397996902466,12
test,no_neighbours,0.6796187162399292,1.3027933835983276,12
test,tenth_grid,0.6706497073173523,1.2869954109191895,12
test,triple_grid,0.8723222613334656,1.6345387697219849,12
test,constant_velocity,0.12512816488742828,0.2338729053735733,12
